,FLAG_RESIL,CLASS_AGE,CLASS_OFFRE,CLASS_DEP,CLASS_VAR,CLASS_TU,CLASS_HORS_FFT,CLASS_QT_M1,CLASS_QT_M2,CLASS_QT_M3,CLASS_TYP_VAR,CHOIX_OFFRE
1,RESIL_NON,[51:110],O5O6,NO_DEP,DECROISSANCE,UTIL_NORMAL,HORS_FFT_NON,APPEL_M1,APPEL_M2,PAS_APPEL_M3,GRANDE_VAR_NEG,CHOIXNON
2,RESIL_OUI,[0:50],O3O4,NO_DEP,CROISSANCE,UTIL_NORMAL,HORS_FFT_NON,APPEL_M1,APPEL_M2,APPEL_M3,PEU_VAR_POS,CHOIXOUI
3,RESIL_NON,[0:50],O3O4,DEP,CROISSANCE,UTIL_EXCE,HORS_FFT_OUI,APPEL_M1,APPEL_M2,APPEL_M3,MOY_VAR_POS,CHOIXNON
4,RESIL_NON,[51:110],O3O4,DEP,CROISSANCE,UTIL_HAUTE,HORS_FFT_NON,APPEL_M1,APPEL_M2,APPEL_M3,GRANDE_VAR_POS,CHOIXOUI
5,RESIL_NON,[0:50],O5O6,NO_DEP,DECROISSANCE,UTIL_NORMAL,HORS_FFT_OUI,APPEL_M1,APPEL_M2,APPEL_M3,GRANDE_VAR_NEG,CHOIXOUI
6,RESIL_NON,[0:50],O3O4,DEP,CROISSANCE,UTIL_NORMAL,HORS_FFT_OUI,APPEL_M1,APPEL_M2,APPEL_M3,GRANDE_VAR_POS,CHOIXOUI
7,RESIL_NON,[0:50],O1O2,NO_DEP,CROISSANCE,UTIL_NORMAL,HORS_FFT_OUI,PAS_APPEL_M1,APPEL_M2,APPEL_M3,MOY_VAR_POS,CHOIXOUI
8,RESIL_NON,[51:110],O7,NO_DEP,PAS_VARIATION,UTIL_BAS,HORS_FFT_NON,PAS_APPEL_M1,PAS_APPEL_M2,PAS_APPEL_M3,PEU_VAR_POS,CHOIXNON
9,RESIL_NON,[51:110],O5O6,DEP,DECROISSANCE,UTIL_HAUTE,HORS_FFT_OUI,APPEL_M1,APPEL_M2,APPEL_M3,GRANDE_VAR_NEG,CHOIXOUI
10,RESIL_OUI,[0:50],O1O2,DEP,CROISSANCE,UTIL_HAUTE,HORS_FFT_OUI,PAS_APPEL_M1,APPEL_M2,APPEL_M3,GRANDE_VAR_POS,CHOIXOUI
11,RESIL_NON,[0:50],O1O2,NO_DEP,DECROISSANCE,UTIL_HAUTE,HORS_FFT_NON,APPEL_M1,APPEL_M2,APPEL_M3,PEU_VAR_NEG,CHOIXOUI
12,RESIL_OUI,[51:110],O1O2,NO_DEP,CROISSANCE,UTIL_EXCE,HORS_FFT_OUI,APPEL_M1,APPEL_M2,APPEL_M3,GRANDE_VAR_POS,CHOIXNON
13,RESIL_NON,[0:50],O5O6,NO_DEP,CROISSANCE,UTIL_BAS,HORS_FFT_OUI,APPEL_M1,PAS_APPEL_M2,APPEL_M3,GRANDE_VAR_POS,CHOIXNON
14,RESIL_NON,[51:110],O5O6,NO_DEP,PAS_VARIATION,UTIL_BAS,HORS_FFT_OUI,PAS_APPEL_M1,APPEL_M2,PAS_APPEL_M3,PEU_VAR_POS,CHOIXNON
16,RESIL_NON,[0:50],O3O4,NO_DEP,DECROISSANCE,UTIL_BAS,HORS_FFT_OUI,APPEL_M1,APPEL_M2,PAS_APPEL_M3,GRANDE_VAR_NEG,CHOIXNON
17,RESIL_NON,[0:50],O5O6,NO_DEP,DECROISSANCE,UTIL_BAS,HORS_FFT_OUI,APPEL_M1,APPEL_M2,PAS_APPEL_M3,GRANDE_VAR_NEG,CHOIXNON
18,RESIL_NON,[0:50],O3O4,DEP,DECROISSANCE,UTIL_HAUTE,HORS_FFT_OUI,APPEL_M1,APPEL_M2,APPEL_M3,MOY_VAR_NEG,CHOIXOUI
19,RESIL_OUI,[0:50],O1O2,NO_DEP,CROISSANCE,UTIL_HAUTE,HORS_FFT_OUI,APPEL_M1,APPEL_M2,APPEL_M3,PEU_VAR_POS,CHOIXOUI
20,RESIL_NON,[51:110],O3O4,NO_DEP,DECROISSANCE,UTIL_BAS,HORS_FFT_OUI,APPEL_M1,PAS_APPEL_M2,APPEL_M3,MOY_VAR_NEG,CHOIXOUI
21,RESIL_NON,[51:110],O3O4,DEP,DECROISSANCE,UTIL_HAUTE,HORS_FFT_OUI,APPEL_M1,APPEL_M2,PAS_APPEL_M3,GRANDE_VAR_NEG,CHOIXOUI
22,RESIL_NON,[0:50],O7,NO_DEP,DECROISSANCE,UTIL_BAS,HORS_FFT_OUI,APPEL_M1,APPEL_M2,APPEL_M3,GRANDE_VAR_NEG,CHOIXNON
23,RESIL_NON,[0:50],O1O2,DEP,CROISSANCE,UTIL_EXCE,HORS_FFT_NON,APPEL_M1,APPEL_M2,APPEL_M3,PEU_VAR_POS,CHOIXNON
24,RESIL_NON,[51:110],O3O4,NO_DEP,PAS_VARIATION,UTIL_HAUTE,HORS_FFT_OUI,APPEL_M1,APPEL_M2,APPEL_M3,PEU_VAR_POS,CHOIXOUI
25,RESIL_NON,[0:50],O3O4,DEP,DECROISSANCE,UTIL_EXCE,HORS_FFT_NON,APPEL_M1,APPEL_M2,APPEL_M3,MOY_VAR_NEG,CHOIXNON
26,RESIL_OUI,[0:50],O3O4,NO_DEP,CROISSANCE,UTIL_BAS,HORS_FFT_OUI,PAS_APPEL_M1,APPEL_M2,APPEL_M3,GRANDE_VAR_POS,CHOIXOUI
