"FLAG_RESIL";"CLASS_AGE";"CLASS_ANC";"CLASS_OFFRE";"CLASS_DEP";"CLASS_APPELS";"CLASS_P_APPELS_DS_FFT";"CLASS_VAR";"CLASS_TU";"CLASS_HORS_FFT";"CLASS_QT_M1";"CLASS_QT_M2";"CLASS_QT_M3";"CLASS_TYP_VAR";"CLASS_SERVICES";"CHOIX_OFFRE"
"1";"RESIL_OUI";"[0:25]";"ANC1";"O3O4";"NO_DEP";"APP3";"PAP3";"CROISSANCE";"UTIL_NORMAL";"HORS_FFT_NON";"APPEL_M1";"APPEL_M2";"APPEL_M3";"PEU_VAR";"SER2";"CHOIX_OUI"
"2";"RESIL_NON";"[41:60]";"ANC3";"O3O4";"DEP";"APP3";"PAP2";"CROISSANCE";"UTIL_HAUTE";"HORS_FFT_NON";"APPEL_M1";"APPEL_M2";"APPEL_M3";"GRANDE_VAR";"SER4";"CHOIX_OUI"
"3";"RESIL_NON";"[26:40]";"ANC2";"O5O6";"NO_DEP";"APP4";"PAP2";"DECROISSANCE";"UTIL_NORMAL";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"GRANDE_VAR";"SER2";"CHOIX_OUI"
"4";"RESIL_NON";"[26:40]";"ANC3";"O3O4";"DEP";"APP3";"PAP2";"CROISSANCE";"UTIL_NORMAL";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"GRANDE_VAR";"SER3";"CHOIX_OUI"
"5";"RESIL_NON";"[26:40]";"ANC3";"O1O2";"NO_DEP";"APP1";"PAP2";"CROISSANCE";"UTIL_NORMAL";"HORS_FFT_OUI";"PAS_APPEL_M1";"APPEL_M2";"APPEL_M3";"MOY_VAR";"SER4";"CHOIX_OUI"
"6";"RESIL_NON";"[41:60]";"ANC2";"O7";"NO_DEP";"APP0";"Autres";"PAS_VARIATION";"UTIL_ILIM";"HORS_FFT_NON";"PAS_APPEL_M1";"PAS_APPEL_M2";"PAS_APPEL_M3";"PEU_VAR";"SER2";"CHOIX_NON"
"7";"RESIL_NON";"[41:60]";"ANC3";"O5O6";"DEP";"APP4";"PAP2";"DECROISSANCE";"UTIL_HAUTE";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"GRANDE_VAR";"SER1";"CHOIX_OUI"
"8";"RESIL_OUI";"[26:40]";"ANC3";"O1O2";"DEP";"APP1";"PAP2";"CROISSANCE";"UTIL_HAUTE";"HORS_FFT_OUI";"PAS_APPEL_M1";"APPEL_M2";"APPEL_M3";"GRANDE_VAR";"SER1";"CHOIX_OUI"
"9";"RESIL_NON";"[26:40]";"ANC2";"O1O2";"NO_DEP";"APP1";"PAP3";"DECROISSANCE";"UTIL_HAUTE";"HORS_FFT_NON";"APPEL_M1";"APPEL_M2";"APPEL_M3";"PEU_VAR";"SER4";"CHOIX_OUI"
"10";"RESIL_OUI";"[61:110]";"ANC2";"O1O2";"NO_DEP";"APP4";"PAP2";"CROISSANCE";"UTIL_EXCE";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"GRANDE_VAR";"SER2";"CHOIX_NON"
